kind,order,date,title_zh,title_en,description_zh,description_en,image,alt_zh,alt_en,caption_zh,caption_en,image_fit,caption_bilingual,slug,article_zh,article_en
hero,1,,"2026 Feng Group 合照","2026 Feng Group Photo",,,/images/home/hero1-2026-feng-group.webp,"2026 年 Feng-lab@Buct 课题组合照","2026 Feng-lab@Buct group photo","2026 Feng Group","2026 Feng Group",cover,no
hero,2,,"2025 Feng Group 合照","2025 Feng Group Photo",,,/images/home/hero2-2025-feng-group.webp,"2025 年 Feng-lab@Buct 课题组合照","2025 Feng-lab@Buct group photo","2025 Feng Group","2025 Feng Group",cover,no
hero,3,,"正交纳米佐剂型 RSV 亚单位疫苗","Orthogonal Nanoadjuvant-Based RSV Subunit Vaccine",,,"/images/publications/An orthogonal nanoadjuvant-based RSV subunit vaccine unlocks potent immunity through a high-entropy like immunostimulatory effect.png","正交纳米佐剂型 RSV 亚单位疫苗代表论文摘要图","Featured publication image for the orthogonal nanoadjuvant-based RSV subunit vaccine","正交纳米佐剂型 RSV 亚单位疫苗通过高熵式免疫刺激效应激发强效免疫","An Orthogonal Nanoadjuvant-Based RSV Subunit Vaccine Unlocks Potent Immunity through a High-Entropy-like Immunostimulatory Effect",contain,yes
hero,4,,"焦磷酸锰矿化 DNA 纳米疫苗","Manganese Pyrophosphate Mineralized DNA Nanovaccine",,,"/images/home/Manganese Pyrophosphate Mineralized DNA Nanovaccine Elicits Potent Humoral and Cellular Immunity.jpg","焦磷酸锰矿化 DNA 纳米疫苗代表论文图片","Featured publication image for the manganese pyrophosphate mineralized DNA nanovaccine","焦磷酸锰矿化 DNA 纳米疫苗诱导强效体液和细胞免疫","Manganese Pyrophosphate Mineralized DNA Nanovaccine Elicits Potent Humoral and Cellular Immunity",contain,yes
hero,5,,"细胞膜相分离赋能药物分子招募","Drug Molecule Recruitment Empowered by Phase Separation",,,"/images/home/Drug Molecule Recruitment Empowered by Phase Separation on Cell Membranes In Vivo.gif","细胞膜相分离代表论文图片","Featured publication image for drug molecule recruitment by phase separation","细胞膜上相分离赋能的药物分子招募","Drug Molecule Recruitment Empowered by Phase Separation on Cell Membranes In Vivo",contain,yes
hero,6,,"SARS-CoV-2 检测与治疗适配体组装体系","Aptamer-based Assembly Systems for SARS-CoV-2",,,"/images/home/Aptamer-based assembly systems for SARS-CoV-2 detection and therapeutics.png","SARS-CoV-2 适配体组装体系代表论文图片","Featured publication image for SARS-CoV-2 aptamer assembly systems","面向 SARS-CoV-2 检测与治疗的适配体组装体系","Aptamer-based assembly systems for SARS-CoV-2 detection and therapeutics",contain,yes
news,1,2026.08,"团队在新型纳米疫苗佐剂工程取得进展","Team Makes Progress in Engineering Novel Nanovaccine Adjuvants",,,,,,,,,,jacs-rsv-orthogonal-nanoadjuvant,祝贺陈玲等同学论文在JACS接收.md,祝贺陈玲等同学论文在JACS接收.en.md
news,2,2026.07,"李凤老师及课题组师生在京参加CPS2026国际多肽会议并作学术报告","Professor Feng Li and Feng-lab@Buct Members Attend CPS2026 in Beijing and Present Their Research",,,,,,,,,,cps2026,参与国际多肽会议.md,参与国际多肽会议.en.md
news,3,2026.05,"祝贺党双博、陈玲等同学论文在 Angewandte Chemie 接收发表","Congratulations to Shuangbo Dang, Ling Chen, and Coauthors on Their Angewandte Chemie Publication",,,,,,,,,,angew-mn-dna-nanovaccine,祝贺党双博陈玲等同学论文在Angew发表.md,祝贺党双博陈玲等同学论文在Angew发表.en.md
